ID,SAMPLES,date,TIME,X_axis,Y_axis,Z_axis,TEMP,MAC_ID,None
6,23,09-07-2020,375,-34,-18,276,32,8cb1190709cc, 
6,24,10-07-2020,376,28,-8,146,32,8cb1190709cc, 
6,25,11-07-2020,377,-6,8,256,32,8cb1190709cc, 
6,26,12-07-2020,378,10,-4,230,32,8cb1190709cc, 
6,27,13-07-2020,379,-28,-22,212,32,8cb1190709cc, 
6,28,14-07-2020,380,0,20,120,32,8cb1190709cc, 
6,29,15-07-2020,381,-16,-10,276,32,8cb1190709cc, 
6,30,16-07-2020,382,-46,56,166,32,8cb1190709cc, 
6,31,17-07-2020,383,26,-72,320,32,8cb1190709cc, 
6,32,18-07-2020,384,-32,48,218,32,8cb1190709cc, 
6,1,19-07-2020,385,-22,86,222,32,8cb1190709cc, 
6,2,20-07-2020,386,-6,6,154,32,8cb1190709cc, 
6,3,21-07-2020,387,24,-40,388,32,8cb1190709cc, 
6,4,22-07-2020,388,-56,2,272,32,8cb1190709cc, 
6,5,23-07-2020,389,0,28,74,32,8cb1190709cc, 
6,6,24-07-2020,390,40,-60,342,32,8cb1190709cc, 
6,7,25-07-2020,391,-24,38,240,32,8cb1190709cc, 
6,8,26-07-2020,392,0,16,100,32,8cb1190709cc, 
6,9,27-07-2020,393,50,-52,382,32,8cb1190709cc, 
6,10,28-07-2020,394,-40,-18,226,32,8cb1190709cc, 
6,11,29-07-2020,395,-8,68,100,32,8cb1190709cc, 
6,12,30-07-2020,396,62,-24,274,32,8cb1190709cc, 
6,13,31-07-2020,397,-36,-24,272,32,8cb1190709cc, 
6,14,01-08-2020,398,-28,38,148,32,8cb1190709cc, 
6,15,02-08-2020,399,36,-28,348,32,8cb1190709cc, 
6,16,03-08-2020,400,-14,-28,176,32,8cb1190709cc, 
6,17,04-08-2020,401,-48,48,238,32,8cb1190709cc, 
6,18,05-08-2020,402,10,-74,402,32,8cb1190709cc, 
6,19,06-08-2020,403,-14,42,160,32,8cb1190709cc, 
6,20,07-08-2020,404,52,-14,386,32,8cb1190709cc, 
6,21,08-08-2020,405,-42,46,302,32,8cb1190709cc, 
6,22,09-08-2020,406,54,0,144,32,8cb1190709cc, 
6,23,10-08-2020,407,-44,-14,336,32,8cb1190709cc, 
6,24,11-08-2020,408,-8,0,148,32,8cb1190709cc, 
6,25,12-08-2020,409,8,-32,156,32,8cb1190709cc, 
6,26,13-08-2020,410,4,56,136,32,8cb1190709cc, 
6,27,14-08-2020,411,-40,-24,400,32,8cb1190709cc, 
6,28,15-08-2020,412,-16,26,92,32,8cb1190709cc, 
6,29,16-08-2020,413,4,-40,230,32,8cb1190709cc, 
6,30,17-08-2020,414,-32,52,204,32,8cb1190709cc, 
6,31,18-08-2020,415,16,-62,360,32,8cb1190709cc, 
6,32,19-08-2020,416,-40,40,96,32,8cb1190709cc, 
